title,author,year,day_in_year,pubdate,genre,country,in_links,article_length,page_url
The Great God Pan,Arthur Machen,1894,28,1894,Decadent; fantasy literature; Gothic horror; science fiction,United Kingdom,99,7754,https://en.wikipedia.org/wiki/The_Great_God_Pan
"Griffith Gaunt, or Jealousy",Charles Reade,1866,1,17 October 1866 (U.K.)|[1],Novel,,23,2356,https://en.wikipedia.org/wiki/Griffith_Gaunt
Hard Cash,Charles Reade,1863,344,10 December 1863,Novel,,20,1781,https://en.wikipedia.org/wiki/Hard_Cash_(novel)
Hard Times,Charles Dickens,1854,1,Serialised April 1854 – 12 August 1854; book format 1854,Novel,England,241,8628,https://en.wikipedia.org/wiki/Hard_Times_(novel)
Heart of Darkness,Joseph Conrad,1899,1,1899 serial; 1902 book,Novella,United Kingdom,700,10212,https://en.wikipedia.org/wiki/Heart_of_Darkness
Helbeck of Bannisdale,Mary Augusta Ward,1898,28,1898,,England,7,838,https://en.wikipedia.org/wiki/Helbeck_of_Bannisdale
Her Benny. A Story of Street Life.,Silas Hocking,1879,28,1879,,United Kingdom,11,1602,https://en.wikipedia.org/wiki/Her_Benny_(novel)
Hester,Margaret Oliphant,1883,28,1883,,,8,1528,https://en.wikipedia.org/wiki/Hester_(novel)
The History of David Grieve,Mary Augusta Ward,1892,28,1892,,England,4,787,https://en.wikipedia.org/wiki/The_History_of_David_Grieve
In the Reign of Terror: The Adventures of a Westminster Boy,G. A. Henty,1888,28,1888,Boy's Adventure; Historical Fiction,United Kingdom,7,3391,https://en.wikipedia.org/wiki/In_the_Reign_of_Terror
In the Year of Jubilee,George Gissing,1894,28,1894,Novel,England,21,1205,https://en.wikipedia.org/wiki/In_the_Year_of_Jubilee
Innocent: Her Fancy and His Fact,Marie Corelli,1914,28,1914,Victorian novel,United Kingdom,8,974,https://en.wikipedia.org/wiki/Innocent:_Her_Fancy_and_His_Fact
Jane Eyre,Charlotte Brontë,1847,1,19 October 1847| (|1847-10-19|)|[1],Gothic; Bildungsroman; Romance,United Kingdom,955,13037,https://en.wikipedia.org/wiki/Jane_Eyre
Jude the Obscure,Thomas Hardy,1895,28,1895,Novel,United Kingdom,217,4412,https://en.wikipedia.org/wiki/Jude_the_Obscure
Kidnapped,Robert Louis Stevenson,1886,28,1886,Adventure novel; Historical novel,Scotland,282,5972,https://en.wikipedia.org/wiki/Kidnapped_(novel)
Kim,Rudyard Kipling,1901,301,October 1901,spy; and; picaresque novel,United Kingdom,369,4947,https://en.wikipedia.org/wiki/Kim_(novel)
King Solomon's Mines,H. Rider Haggard,1885,28,1885,Lost World,United Kingdom,310,5996,https://en.wikipedia.org/wiki/King_Solomon%27s_Mines
Lady Audley's Secret,Mary Elizabeth Braddon,1862,28,1862 (|William Tinsley|),Sensation novel,United Kingdom,80,3933,https://en.wikipedia.org/wiki/Lady_Audley%27s_Secret
A Life's Morning,George Gissing,1888,28,1888,,England,21,1310,https://en.wikipedia.org/wiki/A_Life%27s_Morning
Little Dorrit,Charles Dickens,1855,1,Serial December 1855 – June 1857;|Book 1857,Novel,England,271,7776,https://en.wikipedia.org/wiki/Little_Dorrit
Lord Jim,Joseph Conrad,1900,28,1900,Psychological novel; Modernism,Britain,204,5780,https://en.wikipedia.org/wiki/Lord_Jim
Loss and Gain,John Henry Newman,1848,28,1848,"Philosophical novel; ,; Campus novel",England,23,2504,https://en.wikipedia.org/wiki/Loss_and_Gain
Marcella,Mary Augusta Ward,1894,28,1894,,England,8,1406,https://en.wikipedia.org/wiki/Marcella_(novel)
Marius the Epicurean,Walter Pater,1885,87,March 1885,Philosophical novel,United Kingdom,31,3541,https://en.wikipedia.org/wiki/Marius_the_Epicurean
Mary Barton,Elizabeth Gaskell,1848,28,1848,Romance novel,United Kingdom,91,5476,https://en.wikipedia.org/wiki/Mary_Barton
"Middlemarch, A Study of Provincial Life",George Eliot; (Mary Ann Evans),1872,28,1871–1872,Novel,,316,10320,https://en.wikipedia.org/wiki/Middlemarch
The Mill on the Floss,George Eliot,1860,28,1860,Novel; Psychological fiction; Domestic fiction,United Kingdom,158,3885,https://en.wikipedia.org/wiki/The_Mill_on_the_Floss
A Modern Buccaneer,Rolf Boldrewood,1894,28,1894,Fiction,Australia,6,994,https://en.wikipedia.org/wiki/A_Modern_Buccaneer
The Moonstone,Wilkie Collins,1868,28,1868 (book form),Epistolary novel; Detective novel,England,186,5876,https://en.wikipedia.org/wiki/The_Moonstone
The Mystery of Edwin Drood,Charles Dickens,1870,28,Serialized and book form 1870,Novel; (; Murder Mystery; ),England,245,10069,https://en.wikipedia.org/wiki/The_Mystery_of_Edwin_Drood
The Nemesis of Faith,James Anthony Froude,1849,28,1849,Philosophical novel,England,44,2231,https://en.wikipedia.org/wiki/The_Nemesis_of_Faith
The Nether World,George Gissing,1889,28,1889,,England,33,1942,https://en.wikipedia.org/wiki/The_Nether_World
New Grub Street,George Gissing,1891,28,1891,Novel,United Kingdom,55,2634,https://en.wikipedia.org/wiki/New_Grub_Street
The Newcomes,William Makepeace Thackeray,1855,28,1854–1855,Fiction,England,55,2058,https://en.wikipedia.org/wiki/The_Newcomes
The Odd Women,George Gissing,1893,28,1893,,England,32,1896,https://en.wikipedia.org/wiki/The_Odd_Women
The Old Curiosity Shop,Charles Dickens,1840,1,Serialised April 1840 – February 1841;|[1]| book format 1841,Novel,England,287,7501,https://en.wikipedia.org/wiki/The_Old_Curiosity_Shop
"Oliver Twist; or, The Parish Boy's Progress",Charles Dickens,1837,1,Serialised 1837–1839; book form 1838,Serial; novel,England,974,10108,https://en.wikipedia.org/wiki/Oliver_Twist
Our Mutual Friend,Charles Dickens,1864,1,Serialised 1864–65; book form 1865,Novel,United Kingdom,268,16831,https://en.wikipedia.org/wiki/Our_Mutual_Friend
The Paying Guest,George Gissing,1895,28,1895,,United Kingdom,28,1841,https://en.wikipedia.org/wiki/The_Paying_Guest
"Phoebe, Junior",Margaret Oliphant,1876,28,1876,,,6,1001,"https://en.wikipedia.org/wiki/Phoebe,_Junior"
The Picture of Dorian Gray,Oscar Wilde,1890,28,1890 |Lippincott's Monthly Magazine,"Philosophical fiction; ,; Gothic fiction; ,; decadent literature",United Kingdom,991,10713,https://en.wikipedia.org/wiki/The_Picture_of_Dorian_Gray
The Princess and Curdie,George MacDonald,1883,28,1883,Children's; Fantasy novel,United Kingdom,40,1748,https://en.wikipedia.org/wiki/The_Princess_and_Curdie
The Princess and the Goblin,George MacDonald,1872,28,1872,Children's; fantasy novel,United Kingdom,98,2893,https://en.wikipedia.org/wiki/The_Princess_and_the_Goblin
The Private Papers of Henry Ryecroft,George Robert Gissing,1903,28,1903,Journal,England,23,1185,https://en.wikipedia.org/wiki/The_Private_Papers_of_Henry_Ryecroft
The Return of the Native,Thomas Hardy,1878,28,1878,Novel,United Kingdom,134,5189,https://en.wikipedia.org/wiki/The_Return_of_the_Native
Robbery Under Arms,Rolf Boldrewood,1888,28,1888,Bushranger; novel,Australia,176,5378,https://en.wikipedia.org/wiki/Robbery_Under_Arms
Robert Elsmere,Mary Augusta Ward,1888,28,1888,,England,23,3109,https://en.wikipedia.org/wiki/Robert_Elsmere
A Romance of Two Worlds,Marie Corelli,1886,28,1886,,,18,2167,https://en.wikipedia.org/wiki/A_Romance_of_Two_Worlds
Scenes of Clerical Life,George Eliot,1857,28,1857,Short story compilation,United Kingdom,216,7418,https://en.wikipedia.org/wiki/Scenes_of_Clerical_Life
She: A History of Adventure,H. Rider Haggard,1887,28,1887,"Fantasy, adventure, romance, Gothic",United Kingdom,312,14815,https://en.wikipedia.org/wiki/She:_A_History_of_Adventure
The Sign of the Four,Arthur Conan Doyle,1890,59,February 1890,Mystery,United Kingdom,361,5710,https://en.wikipedia.org/wiki/The_Sign_of_the_Four
Silas Marner,George Eliot,1861,28,1861,,United Kingdom,166,4779,https://en.wikipedia.org/wiki/Silas_Marner
Sir George Tressady,Mary Augusta Ward,1896,28,1896,,England,5,890,https://en.wikipedia.org/wiki/Sir_George_Tressady
The Sorrows of Satan,Marie Corelli,1895,28,1895,"Horror; ,; social criticism",United Kingdom,165,2930,https://en.wikipedia.org/wiki/The_Sorrows_of_Satan
Squire Arden,Margaret Oliphant,1871,28,1871,,England,6,1107,https://en.wikipedia.org/wiki/Squire_Arden
Strange Case of Dr Jekyll and Mr Hyde,Robert Louis Stevenson,1886,5,5 January 1886,Gothic; Horror,United Kingdom,1193,9031,https://en.wikipedia.org/wiki/Strange_Case_of_Dr_Jekyll_and_Mr_Hyde
A Study in Scarlet,Arthur Conan Doyle,1887,1,1887 in annual (1888 in book form),Detective,United Kingdom,450,7606,https://en.wikipedia.org/wiki/A_Study_in_Scarlet
"Sybil; or, The Two Nations",Benjamin Disraeli,1845,28,1845,Fiction,United Kingdom,126,1985,https://en.wikipedia.org/wiki/Sybil_(novel)
The Tale of Chloe:An Episode in the History of Beau Beamish,George Meredith,1879,1,"
|1879 (|New Quarterly Magazine|)|
|1890 (|J. W. Lovell company|)|
",,,13,1554,https://en.wikipedia.org/wiki/The_Tale_of_Chloe
A Tale of Two Cities,Charles Dickens,1859,1,Weekly serial April – November 1859|Book 1859|[1],Historical novel,United Kingdom,824,13027,https://en.wikipedia.org/wiki/A_Tale_of_Two_Cities
The Tenant of Wildfell Hall,"Anne Brontë; (as ""Acton Bell"")",1848,180,June |1848,"Epistolary novel; ,; social criticism",United Kingdom,172,16968,https://en.wikipedia.org/wiki/The_Tenant_of_Wildfell_Hall
A Terrible Temptation: A Story of the Day,Charles Reade,2024,214,August 1871|[1],Novel,,15,875,https://en.wikipedia.org/wiki/A_Terrible_Temptation
Tess of the d'Urbervilles:A Pure Woman,Thomas Hardy,1891,28,1891,Social novel,United Kingdom,346,6392,https://en.wikipedia.org/wiki/Tess_of_the_d%27Urbervilles
"The Three Impostors; or, The Transmutations",Arthur Machen,1895,28,1895,Horror,United Kingdom,27,1998,https://en.wikipedia.org/wiki/The_Three_Impostors
Three Men in a Boat,Jerome Klapka Jerome,1889,28,1889,Comedy novel,United Kingdom,231,5486,https://en.wikipedia.org/wiki/Three_Men_in_a_Boat
"Through the Looking-Glass, and What Alice Found There",Lewis Carroll,1871,1,27 December 1871 (dated 1872),Children's fiction,United Kingdom,839,10573,https://en.wikipedia.org/wiki/Through_the_Looking-Glass
The Tower of London,W. H. Ainsworth,1840,28,1840,,,34,2957,https://en.wikipedia.org/wiki/The_Tower_of_London_(novel)
The Trail of the Serpent,Mary Elizabeth Braddon,1860,1,"(As |Three Times Dead|) first published in 1860; (as |The Trail of the Serpent|) in March 1861, later serialized in the |Halfpenny Journal| from 1 August 1864 to 28 February 1865.",Novel,England,10,1926,https://en.wikipedia.org/wiki/The_Trail_of_the_Serpent
Trilby,George du Maurier,1894,28,1894,,United States,155,4757,https://en.wikipedia.org/wiki/Trilby_(novel)
The Unclassed,George Gissing,1884,28,1884,,England,20,1219,https://en.wikipedia.org/wiki/The_Unclassed
Uncle Silas,J. Sheridan Le Fanu,1864,28,1864,Gothic; mystery; -; thriller,Ireland,61,2727,https://en.wikipedia.org/wiki/Uncle_Silas
Under the Greenwood Tree,Thomas Hardy,2024,1,1872|[1],,United Kingdom,102,3531,https://en.wikipedia.org/wiki/Under_the_Greenwood_Tree
Vanity Fair,William Makepeace Thackeray,1847,1,January 1847 to July 1848 |(serialised in 20 parts),"satire; ,; social criticism; ,; deconstruction",United Kingdom,350,13001,https://en.wikipedia.org/wiki/Vanity_Fair_(novel)
The Whirlpool,George Gissing,1897,28,1897,,England,20,978,https://en.wikipedia.org/wiki/The_Whirlpool_(George_Gissing_novel)
Will Warburton,George Gissing,1905,28,1905,Novel,England,24,1054,https://en.wikipedia.org/wiki/Will_Warburton
Wisdom's Daughter: The Life and Love Story of She-Who-Must-Be-Obeyed,H. Rider Haggard,1923,28,1923,Fantasy,United Kingdom,92,2998,https://en.wikipedia.org/wiki/Wisdom%27s_Daughter
"With Lee in Virginia, A Story of the American Civil War",G.A. Henty,1890,28,1890,Historical novel,United Kingdom,13,1203,https://en.wikipedia.org/wiki/With_Lee_in_Virginia
The Woman in White,Wilkie Collins,1859,1,26 November 1859 – 25 August 1860,"Mystery novel; ,; Sensation novel",United Kingdom,159,4608,https://en.wikipedia.org/wiki/The_Woman_in_White_(novel)
The Woodlanders,Thomas Hardy,1887,28,1887,Novel,,100,3482,https://en.wikipedia.org/wiki/The_Woodlanders
Workers in the Dawn,George Gissing,1880,28,1880,,United Kingdom,28,2367,https://en.wikipedia.org/wiki/Workers_in_the_Dawn
Wuthering Heights,Emily Brontë,1847,362,December 1847,"Tragedy; ,; gothic",United Kingdom,937,17798,https://en.wikipedia.org/wiki/Wuthering_Heights
The Annotated Alice,Martin Gardner,1960,28,1960,Annotated edition,,219,3322,https://en.wikipedia.org/wiki/The_Annotated_Alice
The Hunting of the Snark,Lewis Carroll,1876,89,29 March 1876,Nonsense poetry,United Kingdom,472,11467,https://en.wikipedia.org/wiki/The_Hunting_of_the_Snark
Humpty Dumpty,,1797,28,1797,,,822,6786,https://en.wikipedia.org/wiki/Humpty_Dumpty
Tweedledum and Tweedledee,,1805,28,1805,,,311,3318,https://en.wikipedia.org/wiki/Tweedledum_and_Tweedledee
Alice in the Country of Hearts,,,1,Mag Garden,"Otome game; ,; Visual novel",,315,13685,https://en.wikipedia.org/wiki/Alice_in_the_Country_of_Hearts
Kagihime Monogatari Eikyū Alice Rondo,,,1,MediaWorks,,,45,4690,https://en.wikipedia.org/wiki/Kagihime_Monogatari_Eiky%C5%AB_Alice_Rondo
Miyuki-chan in Wonderland,,,1,Kadokawa Shoten,Fantasy; [1]; Isekai; [2]; Sex comedy; [3]; Yuri; [4],,265,6316,https://en.wikipedia.org/wiki/Miyuki-chan_in_Wonderland
Pandora Hearts,,,1,Square Enix,Adventure; [1]; Dark fantasy; [2]; [3]; Mystery; [1],,415,6929,https://en.wikipedia.org/wiki/Pandora_Hearts
The Admiral's Caravan,Charles E. Carryl,1892,28,1892,"Fantasy novel; ,; Parody",United States,187,2807,https://en.wikipedia.org/wiki/The_Admiral%27s_Caravan
Alice in Blunderland: An Iridescent Dream,John Kendrick Bangs,1907,28,1907,"Fantasy novel; ,; parody",United States,186,2927,https://en.wikipedia.org/wiki/Alice_in_Blunderland:_An_Iridescent_Dream
Alice in Verse: The Lost Rhymes of Wonderland,J.T. Holden,2010,11,11 January 2010,Fantasy novel,,182,3728,https://en.wikipedia.org/wiki/Alice_in_Verse:_The_Lost_Rhymes_of_Wonderland
Alice Through the Needle's Eye: A Third Adventure for Lewis Carroll's Alice,Gilbert Adair,1984,28,1984,Fantasy,United States,191,3467,https://en.wikipedia.org/wiki/Alice_Through_the_Needle%27s_Eye
"Alice, the Zeta Cat and Climate Change: A fairytale about the truth",Margret Boysen,,1,forthcoming,Climate fiction,Germany,6,820,"https://en.wikipedia.org/wiki/Alice,_the_Zeta_Cat_and_Climate_Change"
Alice's Adventures in Wonderland retold in words of one syllable,Lewis Carroll,1905,28,1905,Fantasy novel,United States,184,3226,https://en.wikipedia.org/wiki/Alice%27s_Adventures_in_Wonderland_Retold_in_Words_of_One_Syllable
ArchEnemy,Frank Beddor,2009,288,"October 15, 2009",Fantasy novel,United Kingdom,185,3244,https://en.wikipedia.org/wiki/ArchEnemy
Automated Alice,Jeff Noon,1996,28,1996,Steampunk,Great Britain,195,2823,https://en.wikipedia.org/wiki/Automated_Alice
Clara in Blunderland,"Caroline Lewis (; Edward Harold Begbie; , J. Stafford Ransome, and; Michael Henry Temple; )",1902,28,1902,"Fantasy novel; ,; parody",United Kingdom,214,3722,https://en.wikipedia.org/wiki/Clara_in_Blunderland
Davy and the Goblin,Charles E. Carryl,1885,28,1885,Fantasy novel,United States,186,2718,https://en.wikipedia.org/wiki/Davy_and_the_Goblin
Gladys in Grammarland,Audrey Mayhew Allen,1897,28,c. |1897,Fantasy novel,United Kingdom,187,2667,https://en.wikipedia.org/wiki/Gladys_in_Grammarland
John Bull's Adventures in the Fiscal Wonderland,Charles Geake; and; Francis Carruthers Gould,1904,28,1904,"Fantasy novel; ,; parody",United Kingdom,186,2907,https://en.wikipedia.org/wiki/John_Bull%27s_Adventures_in_the_Fiscal_Wonderland
The Looking Glass Wars,Frank Beddor,2004,1,2004 (UK) 2006 (US),"Fantasy; ,; Novel",United States,222,5547,https://en.wikipedia.org/wiki/The_Looking_Glass_Wars
Lost in Blunderland: The Further Adventures of Clara,"Caroline Lewis (; Edward Harold Begbie; , J. Stafford Ransome, and; Michael Henry Temple; )",1903,28,1903,"Fantasy novel; ,; parody",United Kingdom,212,3507,https://en.wikipedia.org/wiki/Lost_in_Blunderland
