date,description,article_length,page_url
-1200,Distillation is described on Akkadian tablets documenting perfumery operations.,13772,https://en.wikipedia.org/wiki/Distillation
-700,Saddle (fringed cloths or pads used by Assyrian cavalry),10259,https://en.wikipedia.org/wiki/Saddle
-650,Crossbow in China.,13569,https://en.wikipedia.org/wiki/Crossbow
-650,Windmills in Persia,82710,https://en.wikipedia.org/wiki/Persia
-600,Coins in Phoenicia (Modern Lebanon) or Lydia,19256,https://en.wikipedia.org/wiki/Coins
-600,"Wagonway called Diolkos across the Isthmus of Corinth in Ancient Greece",4570,https://en.wikipedia.org/wiki/Wagonway
-600 - -100,"High Carbon Steel, produced by the Closed Crucible method, later known as Wootz steel, of South India.",13561,https://en.wikipedia.org/wiki/Steel#Wootz_steel_and_Damascus_steel
-600,"University in Taxila, of the Indus Valley, then part of the kingdom of Gandhara, of the Achaemenid Empire (modern-day Pakistan).",17501,https://en.wikipedia.org/wiki/University
-600 - -200,"Systematization of medicine and surgery in the Sushruta Samhita in Vedic Northern India.",13441,https://en.wikipedia.org/wiki/Sushruta_Samhita
-600,"Crank motion (rotary quern) in Carthage or 5th century BC Celtiberian Spain Later during the Roman empire, a mechanism appeared that incorporated a connecting rod.",7489,https://en.wikipedia.org/wiki/Crank_(mechanism)
-400,Loan deeds in Upanishadic India.,7488,https://en.wikipedia.org/wiki/Deed
-515,Crane in Ancient Greece,16260,https://en.wikipedia.org/wiki/Crane_(machine)
-500,Lighthouse in Greece,9625,https://en.wikipedia.org/wiki/Lighthouse
-500 - -200,"Toe stirrup, depicted in 2nd century Buddhist art, of the Sanchi and Bhaja Caves, of the Deccan Satavahana empire (modern-day India) although may have originated as early as 500 BC.",8091,https://en.wikipedia.org/wiki/Stirrup#Precursors
-485,"Catapult by Ajatashatru in Magadha, India.",6796,https://en.wikipedia.org/wiki/Catapult
-485,"Scythed chariot by Ajatashatru in Magadha, India.",5183,https://en.wikipedia.org/wiki/Ajatashatru
-500,"Cast iron in Ancient China: Confirmed by archaeological evidence, the earliest cast iron is developed in China by the early 5th century BC during the Zhou Dynasty (1122-256 BC), the oldest specimens found in a tomb of Luhe County in Jiangsu province.",7478,https://en.wikipedia.org/wiki/Cast_iron
-480,"Spiral stairs (Temple A) in Selinunte, Sicily (see also List of ancient spiral stairs)",17286,https://en.wikipedia.org/wiki/Spiral_stairs
-407,"Early descriptions of what may be a Wheelbarrow in Greece. First actual depiction of one (tomb mural) shows up in China in 118 AD.",5739,https://en.wikipedia.org/wiki/Wheelbarrow
-400,"Camera obscura described by Mo-tzu (or Mozi) in China.",16252,https://en.wikipedia.org/wiki/Camera_obscura
-400,Traction trebuchet in Ancient China.,16452,https://en.wikipedia.org/wiki/Trebuchet
-400,Gears in Ancient China,16822,https://en.wikipedia.org/wiki/Gear
-400,"Reed pens, utilising a split nib, were used to write with ink on Papyrus in Egypt.",1735,https://en.wikipedia.org/wiki/Reed_pen
-400,"Nailed Horseshoe, with 4 bronze shoes found in an Etruscan tomb.",6608,https://en.wikipedia.org/wiki/Horseshoe
-375 - -350,Animal-driven rotary mill in Carthage.,3490,https://en.wikipedia.org/wiki/Horse_mill
-400,"Corporations in either the Maurya Empire of India or in Ancient Rome (Collegium).",11908,https://en.wikipedia.org/wiki/Corporation
-400,"Cheque in the Maurya Empire of India.",18451,https://en.wikipedia.org/wiki/Cheque
-400,"Potassium nitrate manufacturing and military use in the Seleucid Empire.",12652,https://en.wikipedia.org/wiki/Potassium_nitrate
-400,"Formal systems by Pāṇini in India, possibly during the reign of Chandragupta Maurya.",5911,https://en.wikipedia.org/wiki/Formal_system
-400 - -300,"Zinc production in North-Western India during the Maurya Empire.",4147,https://en.wikipedia.org/wiki/Zinc_mining#History
-300,"Analog computers in the Hellenistic world (see e.g. the Antikythera mechanism), possibly in Rhodes.",11002,https://en.wikipedia.org/wiki/Analog_computers
-300,Canal lock in Canal of the Pharaohs under Ptolemy II (283-246 BC) in Hellenistic Egypt,9096,https://en.wikipedia.org/wiki/Lock_(water_transport)
-300,"Cam during the Hellenistic period, used in water-driven automata.",5848,https://en.wikipedia.org/wiki/Cam_(mechanism)
-300,"Water wheel. The origin is unclear: Indian Pali texts dating to the 4th century BCE refer to the cakkavattaka, which later commentaries describe as arahatta-ghati-yanta (machine with wheel-pots attached). Helaine Selin suggests that the device existed in Persia before 350 BC. The clearest description of the water wheel and Liquid-driven escapement is provided by Philo of Byzantium (c. 280 - 220 BC) in the Hellenistic kingdoms.",16503,https://en.wikipedia.org/wiki/Water_wheel
-300,Gimbal described by Philo of Byzantium,3581,https://en.wikipedia.org/wiki/Gimbal
-300,Dry dock under Ptolemy IV (221-205 BC) in Hellenistic Egypt,5276,https://en.wikipedia.org/wiki/Dry_dock
-300 - -200,"Blast furnace in Ancient China: The earliest discovered blast furnaces in China date to the 3rd and 2nd centuries BC, although most sites are from the later Han dynasty.",12464,https://en.wikipedia.org/wiki/Blast_furnace
-200,Paper in Han dynasty China,14629,https://en.wikipedia.org/wiki/Paper
-206,Compass in Han dynasty China,10728,https://en.wikipedia.org/wiki/Compass
-200,"Astrolabe invented by Apollonius of Perga.",11624,https://en.wikipedia.org/wiki/Astrolabe
-100,"Segmental arch bridge (e.g. Pont-Saint-Martin or Ponte San Lorenzo) in Italy, Roman Republic",7936,https://en.wikipedia.org/wiki/Arch_bridge
-100,"Arch dam (Glanum Dam) in Gallia Narbonensis, Roman Republic (see also List of Roman dams)",2929,https://en.wikipedia.org/wiki/Arch_dam
-40,"Trip hammer in China",4800,https://en.wikipedia.org/wiki/Trip_hammer
-38,"An empty shell Glyph for zero, is found on a Maya numerals Stela, from Chiapa de Corzo, Chiapas. Independently invented by Claudius Ptolemy, in the second century CE Egypt, and appearing in the calculations of the Almagest.",19981,https://en.wikipedia.org/wiki/0#Pre-Columbian_Americas
-37 - -14,"Glass blowing developed in Jerusalem.",7999,https://en.wikipedia.org/wiki/Glass_blowing
-25,"Reverse overshot water wheel by Roman engineers in Rio Tinto, Spain",1491,https://en.wikipedia.org/wiki/Reverse_overshot_water_wheel
-25,Noodle in Lajia in China,9422,https://en.wikipedia.org/wiki/Noodle
0 - 100,"The aeolipile, a simple steam turbine, is recorded by Hero of Alexandria.",2159,https://en.wikipedia.org/wiki/Aeolipile
0 - 100,Vending machines are invented by Hero of Alexandria.,9115,https://en.wikipedia.org/wiki/Vending_machine
0 - 100,The double-entry bookkeeping system is developed in the Roman Empire.,5144,https://en.wikipedia.org/wiki/Double-entry_bookkeeping
132,"Seismometer and pendulum are developed in Han dynasty China, built by Zhang Heng. It is a large metal urn-shaped instrument which employed either a suspended pendulum or inverted pendulum acting on inertia, like the ground tremors from earthquakes, to dislodge a metal ball by a lever trip device.",8664,https://en.wikipedia.org/wiki/Seismometer
100 - 200,Carding is invented in India.,6319,https://en.wikipedia.org/wiki/Carding
200 - 250,Woodblock printing is invented in Han dynasty China sometime before 220 AD. This made China become the world's first print culture.,10837,https://en.wikipedia.org/wiki/Woodblock_printing
275 - 425,Water turbine is invented in the Roman Empire in modern-day Tunisia.,7210,https://en.wikipedia.org/wiki/Water_turbine
280 - 550,"Chaturanga, a precursor of Chess, is invented in India during the Gupta Empire.",9142,https://en.wikipedia.org/wiki/Chaturanga
300 - 400,"Roman Dichroic glass, which displays one of two different colors depending on lighting conditions.",1885,https://en.wikipedia.org/wiki/Dichroic_glass
300 - 400,"Mariner's compass is invented in Tamil Southern India: the first mention of the use of a compass for navigational purposes is found in Tamil nautical texts as the macchayantra. However, the theoretical notion of magnets pointing North predates the device by several centuries.",10728,https://en.wikipedia.org/wiki/Compass
300 - 400,"Simple suspension bridge is independently invented in Pre-Columbian South America, and the Hindu Kush range, of present-day Afghanistan and Pakistan. With Han dynasty travelers noting bridges being constructed from 3 or more vines or 3 ropes. Later bridges constructed utilizing cables of iron chains appeared in Tibet.",5576,https://en.wikipedia.org/wiki/Simple_suspension_bridge#History
300 - 400,"Fishing reel is invented in Ancient China: In literary records, the earliest evidence of the fishing reel comes from a 4th-century AD work entitled Lives of Famous Immortals.",12420,https://en.wikipedia.org/wiki/Fishing_reel
300 - 400,Oil Wells and Borehole drilling are developed in China. Such wells could reach depths of up to 240 m (790 ft).,9054,https://en.wikipedia.org/wiki/Oil_Well
300 - 400,"The construction of the Iron pillar of Delhi in Mathura by the Gupta Empire shows the development of rust-resistant ferrous metallurgy in Ancient India, although original texts do not survive to detail the specific processes invented in this period.",7619,https://en.wikipedia.org/wiki/Iron_pillar_of_Delhi
350 - 450,"The horse collar as a fully developed collar harness is developed in Southern and Northern Dynasties China during the 5th century AD. The earliest depiction of it is a Dunhuang cave mural from the Chinese Northern Wei Dynasty, the painting dated to 477-499.",4823,https://en.wikipedia.org/wiki/Horse_collar
400 - 500,"Pointed arch bridge (Karamagara Bridge) is built in Cappadocia, Eastern Roman Empire",7936,https://en.wikipedia.org/wiki/Pointed_arch_bridge
400 - 600,Incense clock is invented in China.,2495,https://en.wikipedia.org/wiki/Incense_clock
After 500,"Charkha (spinning wheel/cotton gin) is invented in India (probably during the Vakataka dynasty of Maharashtra, India), between 500 and 1000 A.D.",9014,https://en.wikipedia.org/wiki/Charkha_(spinning_wheel)
500 - 600,"Pendentive dome (Hagia Sophia) is built in Constantinople, Eastern Roman Empire",1609,https://en.wikipedia.org/wiki/Pendentive
500 - 600,Sulfur matches exist in China.,7884,https://en.wikipedia.org/wiki/Match#Early_matches
500 - 600,"Toilet paper is invented in Sui dynasty China, first mentioned by the official Yan Zhitui (531-591), with full evidence of continual use in subsequent dynasties.",10144,https://en.wikipedia.org/wiki/Toilet_paper
500 - 600,Toothbrush is invented in China during the Tang Dynasty,9024,https://en.wikipedia.org/wiki/Toothbrush
600 - 700,"Greek fire is invented in Constantinople, Byzantine Empire: Greek fire, an incendiary weapon likely based on petroleum or naphtha, is invented by Kallinikos, a Lebanese Greek refugee from Baalbek, as described by Theophanes. However, the historicity and exact chronology of this account is dubious, and it could be that Kallinikos merely introduced an improved version of an established weapon.",11478,https://en.wikipedia.org/wiki/Greek_fire
700 - 800,"Banknote is invented in Tang dynasty China: The banknote is first developed in China during the Tang and Song dynasties, starting in the 7th century. Its roots are in merchant receipts of deposit during the Tang Dynasty (618-907), as merchants and wholesalers desire to avoid the heavy bulk of copper coinage in large commercial transactions.",17086,https://en.wikipedia.org/wiki/Banknote
700 - 800,"Porcelain is invented in Tang dynasty China: True porcelain is manufactured in northern China from roughly the beginning of the Tang Dynasty in the 7th century, while true porcelain was not manufactured in southern China until about 300 years later, during the early 10th century.",12686,https://en.wikipedia.org/wiki/Porcelain
800 - 900,"Gunpowder is invented in Tang dynasty China: Gunpowder is, according to prevailing academic consensus, discovered in the 9th century by Chinese alchemists searching for an elixir of immortality. Evidence of gunpowder's first use in China comes from the Five Dynasties and Ten Kingdoms period (618-907). The earliest known recorded recipes for gunpowder are written by Zeng Gongliang, Ding Du, and Yang Weide in the Wujing Zongyao, a military manuscript compiled in 1044 during the Song Dynasty (960-1279).",18063,https://en.wikipedia.org/wiki/Gunpowder
800 - 900,Playing card is invented in Tang Dynasty China,15280,https://en.wikipedia.org/wiki/Playing_card
800 - 900,Degree-granting university is established in Morocco,17501,https://en.wikipedia.org/wiki/University
900 - 1000,"Fire lance is invented in Song dynasty China, developed in the 10th century with a tube of first bamboo and later on metal that shot a weak gunpowder blast of flame and shrapnel, its earliest depiction is a painting found at Dunhuang. Fire lance is the earliest firearm in the world and one of the earliest gunpowder weapons.",6351,https://en.wikipedia.org/wiki/Fire_lance
900 - 1000,"Fireworks are invented in Song dynasty China: Fireworks first appear in China during the Song Dynasty (960-1279), in the early age of gunpowder. Fireworks could be purchased from market vendors; these were made of sticks of bamboo packed with gunpowder.",18621,https://en.wikipedia.org/wiki/Fireworks
974,Fountain pen: invented at the request of al-Mu'izz li-Din Allah in Arab Egypt.,15695,https://en.wikipedia.org/wiki/Fountain_pen
1000 - 1100,Early versions of the Bessemer process are developed in China.,7610,https://en.wikipedia.org/wiki/Bessemer_process
1000 - 1100,Endless power-transmitting chain drive by Su Song for the development an astronomical clock (the Cosmic Engine),9040,https://en.wikipedia.org/wiki/Su_Song#The_endless_chain_drive
1000 - 1100,"Movable type is invented in Song dynasty China: The first record of a movable type system is in the Dream Pool Essays, which attributes the invention of the movable type to Bi Sheng.",11101,https://en.wikipedia.org/wiki/Movable_type
1100 - 1200,Ismail al-Jazari invents the elephant clock .,9493,https://en.wikipedia.org/wiki/Ismail_al-Jazari
1200 - 1300,Rocket for military and recreational uses date back to at least 13th-century China.,20908,https://en.wikipedia.org/wiki/Rocket
1200 - 1300,"The earliest form of mechanical escapement, the verge escapement in Europe.",12930,https://en.wikipedia.org/wiki/Mechanical_escapement
1200 - 1300,Buttons (combined with buttonholes) as a functional fastening for closing clothes appear first in Germany.,7479,https://en.wikipedia.org/wiki/Button
1200 - 1300,"Explosive bomb in Jin dynasty Manchuria: Explosive bombs are used in 1221 by the Jin dynasty against a Song Dynasty city. The first accounts of bombs made of cast iron shells packed with explosive gunpowder are documented in the 13th century in China and are called ""thunder-crash bombs"", coined during a Jin dynasty naval battle in 1231.",6244,https://en.wikipedia.org/wiki/Bomb
1200 - 1300,"Hand cannon is invented in Yuan dynasty China: The earliest hand cannon dates to the 13th century based on archaeological evidence from a Heilongjiang excavation. There is also written evidence in the Yuanshi (1370) on Li Tang, an ethnic Jurchen commander under the Yuan Dynasty who in 1288 suppresses the rebellion of the Christian prince Nayan with his ""gun-soldiers"" or chongzu, this being the earliest known event where this phrase is used.",10265,https://en.wikipedia.org/wiki/Hand_cannon
1200 - 1300,Worm gear cotton gin in India.,5517,https://en.wikipedia.org/wiki/Cotton_gin
1277,"Land mine is invented in Song dynasty China: Textual evidence suggests that the first use of a land mine in history is by a Song Dynasty brigadier general known as Lou Qianxia, who uses an 'enormous bomb' (huo pao) to kill Mongol soldiers invading Guangxi in 1277.",18354,https://en.wikipedia.org/wiki/Land_mine
1286,Eyeglasses are invented in Italy,13480,https://en.wikipedia.org/wiki/Eyeglasses
1300 - 1400,Multistage rocket is described in Huolongjing by Jiao Yu during the Ming dynasty China.,10119,https://en.wikipedia.org/wiki/Multistage_rocket
By at least 1326,Cannon is invented in Ming dynasty China,28563,https://en.wikipedia.org/wiki/Cannon
1300 - 1400,"Naval mine is invented in Ming dynasty China: Mentioned in the Huolongjing military manuscript written by Jiao Yu (fl. 14th to early 15th century) and Liu Bowen (1311-1375), describing naval mines used at sea or on rivers and lakes, made of wrought iron and enclosed in an ox bladder. A later model is documented in Song Yingxing's encyclopedia written in 1637.",20961,https://en.wikipedia.org/wiki/Naval_mine
1300 - 1400,Bidriware is invented in the Bahmani Sultanate in India.,4788,https://en.wikipedia.org/wiki/Bidriware
Early 15th century,Coil spring
1620,"Compound microscopes, which combine an objective lens with an eyepiece to view a real image, first appear in Europe. Apparently derived from the telescope, actual inventor unknown, variously attributed to Zacharias Janssen (his son claiming it was invented in 1590), Cornelis Drebbel, and Galileo Galilei.",10023,https://en.wikipedia.org/wiki/Optical_microscope#Compound_microscope
1630,Slide rule: invented by William Oughtred,14109,https://en.wikipedia.org/wiki/Slide_rule
1642,Mechanical calculator. The Pascaline is built by Blaise Pascal.,13446,https://en.wikipedia.org/wiki/Mechanical_calculator
1643,"Barometer: invented by Evangelista Torricelli, or possibly up to three years earlier by Gasparo Berti.",8550,https://en.wikipedia.org/wiki/Barometer
